Ranking,Name,Tuition,Board,Salary
> 600,Franklin Pierce University,"$34,995","$13,082","$38,067"
> 600,Freed-Hardeman University,"$21,950","$7,950","$36,500"
> 600,Georgia Southern University,"$17,142","$9,650","$40,567"
> 600,Georgia College & State University,"$28,060","$12,538","$39,567"
> 600,Grand Valley State University,"$17,376","$9,150","$41,067"
> 600,Harding University,"$19,190","$6,894","$39,167"
> 600,Heidelberg University,"$30,200","$10,200","$37,400"
> 600,Huntington University,"$25,540","$8,456","$34,867"
> 600,Indiana University of Pennsylvania,"$17,271","$12,328","$39,067"
> 600,Indiana University-Purdue University Fort Wayne,"$20,005","$9,345","$35,633"
> 600,Indiana University Southeast,"$19,038","$9,724","$35,867"
> 600,Indiana State University,"$19,452","$9,988","$37,233"
> 600,Johnson & Wales University-Charlotte,"$31,158","$12,834","$36,900"
> 600,Johnson & Wales University-Denver,"$31,158","$11,835","$36,900"
> 600,Johnson & Wales University-North Miami,"$31,158","$11,835","$36,900"
> 600,Johnson & Wales University-Providence,"$31,158","$13,809","$36,900"
> 600,Keene State College,"$22,614","$10,666","$41,033"
> 600,Kennesaw State University,"$17,328","$11,467",n/a
> 600,Kent State University at Kent,"$18,554","$10,916","$36,767"
> 600,Kutztown University of Pennsylvania,"$13,975","$11,310","$41,233"
> 600,Lancaster Bible College,"$22,580","$8,750","$32,433"
> 600,Lasell College,"$34,600","$14,800","$41,200"
> 600,Lee University,"$16,730","$8,080","$33,667"
> 600,Lenoir-Rhyne University,"$35,350","$12,150","$36,900"
> 600,Lindenwood University,"$16,960","$8,800","$40,067"
> 600,Lock Haven University,"$20,056","$9,968","$40,067"
> 600,University of Louisiana at Lafayette,"$23,616","$10,294","$38,500"
> 600,Louisiana Tech University,"$18,558","$6,360","$41,067"
> 600,University of Maine,"$30,282","$10,136","$40,833"
> 600,Mansfield University of Pennsylvania,"$22,008","$11,998","$37,967"
> 600,Marshall University,"$17,856","$10,126","$34,567"
> 600,University of Mary Hardin-Baylor,"$25,860","$7,894","$42,333"
> 600,Marymount Manhattan College,"$31,950","$16,400","$39,967"
> 600,Maryville University,"$28,470","$10,088","$46,367"
> 600,Marywood University,"$33,940","$13,900","$37,733"
> 600,Mercy College,"$18,714","$13,900","$37,833"
> 600,Metropolitan State University of Denver,"$20,149",n/a,"$39,000"
> 600,Middle Tennessee State University,"$26,348","$8,392","$37,200"
> 600,Millersville University,"$21,560","$13,665","$43,167"
> 600,University of Minnesota Duluth,"$18,462","$7,608","$45,500"
> 600,Minnesota State University-Mankato,"$16,216","$9,096","$43,433"
> 600,Minnesota State University Moorhead,"$15,878","$9,008","$38,367"
> 600,Mississippi College,"$17,392","$9,610","$38,100"
> 600,Missouri State University-Springfield,"$14,746","$8,537","$37,833"
> 600,Monmouth University,"$36,732","$13,451","$50,167"
> 600,University of Montana,"$24,943","$9,178","$34,833"
> 600,Montana State University,"$24,071","$9,250","$41,067"
> 600,University of Montevallo,"$25,030","$9,030","$34,067"
> 600,Morehead State University,"$13,426","$9,436","$31,800"
> 600,Murray State University,"$23,820","$8,906","$36,033"
> 600,University of New Orleans,"$13,320","$10,575","$37,933"
> 600,Niagara University,"$31,950","$12,950","$41,400"
> 600,North Carolina Agricultural and Technical State University,"$19,416","$7,260","$33,600"
> 600,North Carolina Central University,"$19,106","$9,852","$32,233"
> 600,University of North Carolina Wilmington,"$21,065","$10,490","$40,200"
> 600,North Central University,"$23,480","$7,130","$32,400"
> 600,University of Northern Colorado,"$21,132","$10,980","$40,400"
> 600,Northern Kentucky University,"$19,104","$9,732","$36,567"
> 600,Northern Michigan University,"$16,120","$10,328","$34,467"
> 600,Northwest Missouri State University,"$12,908","$8,714","$38,600"
> 600,Oakland University,"$24,735","$9,910","$42,667"
> 600,Oklahoma Christian University,"$21,670","$7,590","$37,400"
> 600,Olivet College,"$26,695","$9,310","$36,667"
> 600,Olivet Nazarene University,"$34,940","$7,900","$39,067"
> 600,Oral Roberts University,"$26,792","$8,780","$35,867"
> 600,Our Lady of the Lake University,"$28,192","$9,489","$38,367"
> 600,Palm Beach Atlantic University,"$29,950","$9,660","$39,033"
> 600,Penn State Altoona,"$23,692","$11,280","$48,767"
> 600,Penn State Behrend,"$23,692","$11,280","$48,767"
> 600,Pennsylvania College of Technology,"$23,280","$11,340","$41,167"
> 600,University of Pittsburgh-Bradford,"$25,144","$9,058","$51,133"
> 600,University of Pittsburgh-Greensburg,"$25,114","$10,270","$51,133"
> 600,University of Pittsburgh-Johnstown,"$25,120","$9,660","$51,133"
> 600,Plymouth State University,"$22,230","$10,960","$39,133"
> 600,Point Park University,"$30,130","$11,100","$36,500"
> 600,Radford University,"$22,709","$8,522","$42,500"
> 600,Rhode Island College,"$21,289","$11,536","$40,033"
> 600,SUNY Alfred State College,"$8,327","$12,250","$40,800"
> 600,SUNY Farmingdale State College,"$17,726","$12,892","$48,967"
> 600,SUNY Purchase College,"$18,148","$13,334","$35,133"
> 600,Saginaw Valley State University,"$23,063","$9,465","$38,100"
> 600,The College of Saint Rose,"$31,654","$12,356","$43,033"
> 600,Salem State University,"$16,706","$13,000","$41,633"
> 600,Savannah College of Art and Design,"$36,410","$14,244","$35,600"
> 600,Shippensburg University,"$20,186","$11,656","$44,667"
> 600,Slippery Rock University,"$14,193","$10,312","$40,067"
